id,created_at,buyer,seller,trade_type,btc_amount,btc_traded,fee_btc,btc_amount_less_fee,btc_final,fiat_amount,fiat_fee,fiat_per_btc,currency,exchange_rate,transaction_released_at,online_provider,reference
12551044,2017-07-09 18:03:29+00:00,neb_401,tom1010,LOCAL_SELL,0.02916872,0.02916872,0.00,0.02916872,0.02916872,100.00,0.00,3428.33,CAD,3428.33,,,L12551044B7H0G4
12580117,2017-07-11 02:01:50+00:00,WFREDERICKS,neb_401,ONLINE_BUY,0.05772689,0.05772689,0.00,0.05772689,0.05772689,200.00,0.00,3464.59,CAD,3464.59,,INTERAC,L12580117B7HMVP
12609872,2017-07-12 10:56:27+00:00,neb_401,iTok3,ONLINE_BUY,0.01402225,0.01402225,0.00014022,0.01388203,0.01388203,44.54,0.45,3208.46,CAD,3176.38,,INTERAC,L12609872B7I9U8
12652874,2017-07-14 05:44:12+00:00,Dimax123,neb_401,ONLINE_SELL,0.06492212,0.06427933,0.00064279,0.06427933,0.06492212,200.00,1.98,3111.42,CAD,3111.42,,INTERAC,L12652874B7J70Q
12721638,2017-07-17 11:33:40+00:00,penderhippy,neb_401,ONLINE_SELL,0.00663663,0.00657092,0.00006571,0.00657092,0.00663663,21.00,0.21,3195.90,CAD,3195.90,,INTERAC,L12721638B7KO2U
12749283,2017-07-18 14:37:12+00:00,neb_401,chrisjenkins,ONLINE_SELL,0.21089038,0.21089038,0.00,0.21089038,0.21089038,500.00,0.00,2370.90,USD,2370.90,,MONEYGRAM,L12749283B7L9ER
12756508,2017-07-18 19:42:25+00:00,neb_401,lonelyworks0,ONLINE_SELL,0.10949168,0.10949168,0.00,0.10949168,0.10949168,350.00,0.00,3196.59,CAD,3196.59,,CASH_DEPOSIT,L12756508B7LEZG
12785536,2017-07-20 02:24:10+00:00,neb_401,vinxe,ONLINE_SELL,0.11020741,0.11020741,0.00,0.11020741,0.11020741,350.00,0.00,3175.83,CAD,3175.83,,INTERAC,L12785536B7M1DS
12801869,2017-07-20 17:59:10+00:00,neb_401,bitcoinish,ONLINE_SELL,0.19994705,0.19994705,0.00,0.19994705,0.19994705,694.80,0.00,3474.92,CAD,3474.92,,CASH_DEPOSIT,L12801869B7MDZH
12801891,2017-07-20 18:00:09+00:00,neb_401,bitcoinish,ONLINE_SELL,0.20002475,0.20002475,0.00,0.20002475,0.20002475,695.07,0.00,3474.92,CAD,3474.92,,CASH_DEPOSIT,L12801891B7ME03
12831856,2017-07-21 21:36:59+00:00,alysa08,neb_401,ONLINE_SELL,0.01446389,0.01432068,0.00014321,0.01432068,0.01446389,55.00,0.54,3840.60,CAD,3840.60,,INTERAC,L12831856B7N14G
12860512,2017-07-23 10:34:39+00:00,FamilyHill,neb_401,ONLINE_SELL,0.00975855,0.00966193,0.00009662,0.00966193,0.00975855,40.00,0.40,4139.96,CAD,4139.96,,INTERAC,L12860512B7NN8G
12890539,2017-07-24 20:26:51+00:00,neb_401,canadianbitcoinminer,ONLINE_SELL,0.10083056,0.10083056,0.00,0.10083056,0.10083056,350.00,0.00,3471.17,CAD,3471.17,,CASH_DEPOSIT,L12890539B7OAEJ
12895422,2017-07-25 02:27:40+00:00,neb_401,smario699,ONLINE_SELL,0.22632691,0.22632691,0.00,0.22632691,0.22632691,800.00,0.00,3534.71,CAD,3534.71,,INTERAC,L12895422B7OE66
12895438,2017-07-25 02:29:18+00:00,neb_401,smario699,ONLINE_SELL,0.09844125,0.09844125,0.00,0.09844125,0.09844125,350.00,0.00,3555.42,CAD,3555.42,,INTERAC,L12895438B7OE6M
12911682,2017-07-25 18:24:09+00:00,neb_401,lonelyworks0,ONLINE_SELL,0.04851443,0.04851443,0.00,0.04851443,0.04851443,165.00,0.00,3401.05,CAD,3401.05,,INTERAC,L12911682B7OQPU
12917809,2017-07-25 23:31:13+00:00,Watcha27,neb_401,ONLINE_SELL,0.02718986,0.02692065,0.00026921,0.02692065,0.02718986,100.00,0.99,3714.62,CAD,3714.62,,INTERAC,L12917809B7OVG1
12931172,2017-07-26 15:11:58+00:00,andymurphy7777,neb_401,ONLINE_SELL,0.03564806,0.03529511,0.00035295,0.03529511,0.03564806,130.00,1.29,3683.23,CAD,3683.23,,INTERAC,L12931172B7P5R8
12941779,2017-07-26 23:37:33+00:00,amloyst,neb_401,ONLINE_SELL,0.03871120,0.03832792,0.00038328,0.03832792,0.03871120,140.00,1.39,3652.69,CAD,3652.69,,INTERAC,L12941779B7PDXV
13426544,2017-08-15 22:39:33+00:00,Fred2969,neb_401,ONLINE_SELL,0.02005062,0.01985210,0.00019852,0.01985210,0.02005062,108.00,1.07,5440.23,CAD,5440.23,,INTERAC,L13426544B7ZRZK
13474115,2017-08-17 16:57:14+00:00,Kraekin,neb_401,ONLINE_BUY,0.01999939,0.01999939,0.00,0.01999939,0.01999939,125.52,0.00,6276.19,CAD,6276.19,,INTERAC,L13474115B80SOZ
13476504,2017-08-17 18:19:28+00:00,neb_401,vinxe,ONLINE_SELL,0.15146044,0.15146044,0.00,0.15146044,0.15146044,885.00,0.00,5843.11,CAD,5843.11,,INTERAC,L13476504B80UJC
13480690,2017-08-17 21:04:41+00:00,therealscoop,neb_401,ONLINE_SELL,0.01212392,0.01200388,0.00012004,0.01200388,0.01212392,75.00,0.74,6247.98,CAD,6247.98,,INTERAC,L13480690B80XRM
13480913,2017-08-17 21:13:29+00:00,therealscoop,neb_401,ONLINE_SELL,0.01220475,0.01208391,0.00012084,0.01208391,0.01220475,75.50,0.75,6247.98,CAD,6247.98,,INTERAC,L13480913B80XXT
13502786,2017-08-18 17:13:53+00:00,neb_401,zainc,ONLINE_SELL,0.09217660,0.09217660,0.00,0.09217660,0.09217660,500.00,0.00,5424.37,CAD,5424.37,,INTERAC,L13502786B81ETE
13515263,2017-08-19 03:48:56+00:00,trevelder,neb_401,ONLINE_SELL,0.05519578,0.05464929,0.00054649,0.05464929,0.05519578,340.00,3.37,6221.49,CAD,6221.49,,INTERAC,L13515263B81OFZ
13515005,2017-08-19 03:18:24+00:00,AliG87,neb_401,ONLINE_SELL,0.00649362,0.00642933,0.00006429,0.00642933,0.00649362,40.00,0.40,6221.49,CAD,6221.49,,INTERAC,L13515005B81O8T
13540638,2017-08-20 05:20:28+00:00,abdussamad957739,neb_401,ONLINE_SELL,0.01635059,0.01618870,0.00016189,0.01618870,0.01635059,100.00,0.99,6177.15,CAD,6177.15,,INTERAC,L13540638B8280U
13552048,2017-08-20 16:52:18+00:00,Mamadou020,neb_401,ONLINE_SELL,0.01284811,0.01272090,0.00012721,0.01272090,0.01284811,76.00,0.75,5974.42,CAD,5974.42,,INTERAC,L13552048B82GTS
13555403,2017-08-20 19:42:36+00:00,penderhippy,neb_401,ONLINE_SELL,0.00840674,0.00832350,0.00008324,0.00832350,0.00840674,50.00,0.50,6007.09,CAD,6007.09,,INTERAC,L13555403B82JEZ
13555742,2017-08-20 20:01:46+00:00,penderhippy,neb_401,ONLINE_SELL,0.00840674,0.00832350,0.00008324,0.00832350,0.00840674,50.00,0.50,6007.09,CAD,6007.09,,INTERAC,L13555742B82JOE
13559257,2017-08-20 23:49:42+00:00,jamesbevans,neb_401,ONLINE_BUY,0.12000032,0.12000032,0.00,0.12000032,0.12000032,750.74,0.00,6256.15,CAD,6256.15,,INTERAC,L13559257B82ME1
13560193,2017-08-21 01:29:02+00:00,Endowed122,neb_401,ONLINE_SELL,0.01640815,0.01624569,0.00016246,0.01624569,0.01640815,100.00,0.99,6155.48,CAD,6155.48,,INTERAC,L13560193B82N41
